date,price,bid,ask,vol,dollar_vol
2016-04-19,92.37,92.36,92.39,835.0,77128.95
2016-04-20,92.58,92.58,92.6,3698.0,342360.83999999997
2016-04-21,91.97,91.95,91.96,1827.0,168029.19
2016-04-22,92.54,92.55,92.56,2126.0,196740.04
2016-04-23,,,,,
2016-04-24,,,,,
2016-04-25,92.22,92.2,92.21,2132.0,196613.04
2016-04-26,92.65,92.61,92.65,2442.0,226251.30000000002
2016-04-27,93.24,93.24,93.25,1584.0,147692.16
2016-04-28,92.42,92.39,92.41,830.0,76708.6
2016-04-29,91.72,91.78,91.8,17012.0,1560340.64
2016-04-30,,,,,
2016-05-01,,,,,
2016-05-02,92.37,92.38,92.39,5648.0,521705.76
2016-05-03,91.42,91.39,91.43,1271.0,116194.82
2016-05-04,90.71,90.71,90.76,28720.0,2605191.1999999997
2016-05-05,90.66,90.65,90.66,778.0,70533.48
2016-05-06,90.92,90.93,90.94,1207.0,109740.44
2016-05-07,,,,,
2016-05-08,,,,,
2016-05-09,90.74,90.73,90.74,670.0,60795.799999999996
2016-05-10,91.87,91.86,91.87,933.0,85714.71
2016-05-11,91.18,91.18,91.19,1913.0,174427.34000000003
2016-05-12,91.24,91.22,91.24,802.0,73174.48
2016-05-13,90.2399,90.23,90.24,11000.0,992638.9
2016-05-14,,,,,
2016-05-15,,,,,
2016-05-16,91.06,91.05,91.06,1575.0,143419.5
2016-05-17,90.42,90.42,90.43,719.0,65011.98
2016-05-18,90.45,90.34,90.49,43131.0,3901198.95
2016-05-19,90.25,90.25,90.26,340.0,30685.0
2016-05-20,90.76,90.76,90.77,1924.0,174622.24000000002
2016-05-21,,,,,
2016-05-22,,,,,
2016-05-23,90.6,90.61,90.62,3557.0,322264.19999999995
2016-05-24,91.61,91.62,91.63,4714.0,431849.54
2016-05-25,92.45,92.43,92.44,6693.0,618767.85
2016-05-26,92.31,92.3,92.31,1211.0,111787.41
2016-05-27,92.69,92.7,92.71,1546.0,143298.74
2016-05-28,,,,,
2016-05-29,,,,,
2016-05-30,,,,,
2016-05-31,92.56,92.58,92.59,3144.0,291008.64
2016-06-01,92.79,92.79,92.82,3397.0,315207.63
2016-06-02,93.06,93.05,93.06,2197.0,204452.82
2016-06-03,92.75,92.77,92.78,14899.0,1381882.25
2016-06-04,,,,,
2016-06-05,,,,,
2016-06-06,93.42,93.42,93.43,778.0,72680.76
2016-06-07,93.68,93.67,93.68,338.0,31663.840000000004
2016-06-08,93.97,93.97,93.98,1013.0,95191.61
2016-06-09,93.74,93.73,93.74,1893.0,177449.81999999998
2016-06-10,92.8301,92.83,92.85,600.0,55698.06
2016-06-11,,,,,
2016-06-12,,,,,
2016-06-13,92.15,92.16,92.18,3103.0,285941.45
2016-06-14,91.81,91.84,91.85,6802.0,624491.62
2016-06-15,91.72,91.7,91.73,3229.0,296163.88
2016-06-16,92.06,92.03,92.05,1494.0,137537.64
2016-06-17,92.05,92.06,92.07,8263.0,760609.15
2016-06-18,,,,,
2016-06-19,,,,,
2016-06-20,92.6,92.6,92.62,4153.0,384567.8
2016-06-21,92.36,92.34,92.35,3037.0,280497.32
2016-06-22,92.21,92.21,92.22,2017.0,185987.56999999998
2016-06-23,93.61,93.56,93.58,1142.0,106902.62
2016-06-24,90.0,90.04,90.05,2586.0,232740.0
2016-06-25,,,,,
2016-06-26,,,,,
2016-06-27,88.27,88.28,88.3,2827.0,249539.28999999998
2016-06-28,89.83,89.8,89.83,3010.0,270388.3
2016-06-29,91.47,91.46,91.47,742.0,67870.74
2016-06-30,92.85,92.84,92.86,3000.0,278550.0
2016-07-01,92.92,92.95,92.97,1648.0,153132.16
2016-07-02,,,,,
2016-07-03,,,,,
2016-07-04,,,,,
2016-07-05,91.99,91.99,92.01,1171.0,107720.29
2016-07-06,92.55,92.55,92.56,3400.0,314670.0
2016-07-07,92.36,92.37,92.39,1596.0,147406.56
2016-07-08,93.8,93.78,93.79,2560.0,240128.0
2016-07-09,,,,,
2016-07-10,,,,,
2016-07-11,94.14,94.13,94.14,1335.0,125676.9
2016-07-12,95.0,95.0,95.02,4173.0,396435.0
2016-07-13,95.13,95.12,95.13,3021.0,287387.73
2016-07-14,95.62,95.62,95.64,1322.0,126409.64
2016-07-15,95.54,95.54,95.55,2070.0,197767.80000000002
2016-07-16,,,,,
2016-07-17,,,,,
2016-07-18,95.74,95.72,95.73,7119.0,681573.0599999999
2016-07-19,95.58,95.55,95.69,43500.0,4157730.0
2016-07-20,95.77,95.69,95.81,6360.0,609097.2
2016-07-21,95.4,95.41,95.43,3061.0,292019.4
2016-07-22,95.93,95.9,95.91,4407.0,422763.51
2016-07-23,,,,,
2016-07-24,,,,,
2016-07-25,95.55,95.53,95.54,2496.0,238492.8
2016-07-26,95.74,95.63,95.76,1985.0,190043.9
2016-07-27,95.37,95.38,95.39,1700.0,162129.0
2016-07-28,95.29,95.27,95.28,13838.0,1318623.02
2016-07-29,95.37,95.37,95.38,5305.0,505937.85000000003
2016-07-30,,,,,
2016-07-31,,,,,
2016-08-01,94.89,94.89,94.9,15447.0,1465765.83
2016-08-02,94.31,94.32,94.33,2591.0,244357.21
2016-08-03,94.79,94.78,94.79,16665.0,1579675.35
2016-08-04,94.77,94.77,94.78,5391.0,510905.07
2016-08-05,95.72,95.72,95.73,3668.0,351100.96
2016-08-06,,,,,
2016-08-07,,,,,
2016-08-08,95.78,95.79,95.8,18063.0,1730074.1400000001
2016-08-09,95.76,95.77,95.78,1712.0,163941.12
2016-08-10,95.4,95.4,95.41,1647.0,157123.80000000002
2016-08-11,95.99,95.98,95.99,3621.0,347579.79
2016-08-12,95.91,95.89,95.91,2027.0,194409.57
2016-08-13,,,,,
2016-08-14,,,,,
2016-08-15,96.24,96.23,96.24,4254.0,409404.95999999996
2016-08-16,95.83,95.84,95.86,7540.0,722558.2
2016-08-17,96.08,96.07,96.08,1777.0,170734.16
2016-08-18,96.48,96.45,96.46,3506.0,338258.88
2016-08-19,96.24,96.21,96.22,2510.0,241562.4
2016-08-20,,,,,
2016-08-21,,,,,
2016-08-22,96.09,96.09,96.1,3506.0,336891.54000000004
2016-08-23,96.24,96.25,96.27,10240.0,985497.6
2016-08-24,95.91,95.89,95.9,14070.0,1349453.7
2016-08-25,95.8,95.79,95.8,900.0,86220.0
2016-08-26,95.57,95.55,95.56,1243.0,118793.51
2016-08-27,,,,,
2016-08-28,,,,,
2016-08-29,96.23,96.22,96.23,657.0,63223.11
2016-08-30,96.19,96.18,96.19,1782.0,171410.58
2016-08-31,95.91,95.92,95.93,21339.0,2046623.49
2016-09-01,95.83,95.8,95.82,9352.0,896202.16
2016-09-02,96.28,96.26,96.27,4204.0,404761.12
2016-09-03,,,,,
2016-09-04,,,,,
2016-09-05,,,,,
2016-09-06,96.52,96.51,96.52,7870.0,759612.4
2016-09-07,96.55,96.52,96.53,6621.0,639257.5499999999
2016-09-08,96.61,96.61,96.63,1879.0,181530.19
2016-09-09,94.35,94.33,94.35,1534.0,144732.9
2016-09-10,,,,,
2016-09-11,,,,,
2016-09-12,95.66,95.66,95.67,3234.0,309364.44
2016-09-13,94.01,94.01,94.01,800.0,75208.0
2016-09-14,93.65,93.67,93.69,1176.0,110132.40000000001
2016-09-15,94.33,94.24,94.37,300.0,28299.0
2016-09-16,94.0,94.0,94.01,9219.0,866586.0
2016-09-17,,,,,
2016-09-18,,,,,
2016-09-19,94.13,94.11,94.26,5000.0,470650.0
2016-09-20,94.05,94.05,94.06,399.0,37525.95
2016-09-21,95.12,95.12,95.12,300.0,28536.0
2016-09-22,95.64,95.65,95.66,12516.0,1197030.24
2016-09-23,95.18,95.16,95.17,2592.0,246706.56000000003
2016-09-24,,,,,
2016-09-25,,,,,
2016-09-26,93.75,93.74,93.75,3177.0,297843.75
2016-09-27,94.2,94.19,94.2,781.0,73570.2
2016-09-28,94.98,94.97,94.98,3410.0,323881.8
2016-09-29,94.1,94.1,94.11,4046.0,380728.6
2016-09-30,94.96,94.96,94.98,5351.0,508130.95999999996
2016-10-01,,,,,
2016-10-02,,,,,
2016-10-03,94.66,94.65,94.66,4525.0,428336.5
2016-10-04,94.14,94.12,94.14,2012.0,189409.68
2016-10-05,94.78,94.82,94.84,11275.0,1068644.5
2016-10-06,94.87,94.85,94.87,3972.0,376823.64
2016-10-07,94.57,94.56,94.57,3075.0,290802.75
2016-10-08,,,,,
2016-10-09,,,,,
